"","Country Name","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
"1","Argentina","23.682","23.459","23.242","23.038","22.857","22.709","22.602","22.546","22.547","22.61","22.759","23.02","23.387","23.833","24.318","24.77","25.107","25.273","25.243","25.017","24.63","24.145","23.646","23.198","22.833","22.563","22.379","22.239","22.106","21.967","21.804","21.603","21.366","21.097","20.804","20.501","20.21","19.948","19.727","19.55","19.413","19.302","19.199","19.091","18.97","18.836","18.695","18.553","18.417","18.285","18.154","18.019","17.875","17.717","17.547","17.364","..",".."
"2","Bolivia","44.539","44.279","44.025","43.778","43.539","43.307","43.083","42.865","42.654","42.45","42.261","42.092","41.944","41.813","41.69","41.56","41.408","41.219","40.983","40.692","40.341","39.931","39.471","38.976","38.456","37.923","37.39","36.864","36.353","35.862","35.396","34.957","34.536","34.126","33.718","33.304","32.873","32.42","31.941","31.435","30.905","30.356","29.796","29.234","28.678","28.128","27.584","27.045","26.515","25.997","25.502","25.039","24.612","24.223","23.87","23.549","..",".."
"3","Brazil","42.336","42.029","41.611","41.064","40.392","39.61","38.741","37.833","36.934","36.08","35.31","34.654","34.112","33.675","33.337","33.083","32.894","32.734","32.563","32.351","32.059","31.655","31.135","30.508","29.783","28.982","28.134","27.278","26.452","25.677","24.979","24.37","23.838","23.365","22.94","22.54","22.139","21.716","21.256","20.753","20.204","19.618","19.016","18.42","17.845","17.31","16.832","16.413","16.053","15.749","15.492","15.269","15.06","14.852","14.635","14.405","..",".."
"4","Chile","36.034","35.653","35.238","34.787","34.293","33.739","33.104","32.38","31.573","30.697","29.774","28.827","27.889","26.995","26.171","25.44","24.821","24.307","23.89","23.567","23.337","23.199","23.135","23.117","23.118","23.101","23.031","22.889","22.664","22.349","21.945","21.465","20.938","20.393","19.846","19.31","18.793","18.295","17.818","17.369","16.959","16.595","16.277","16","15.759","15.543","15.339","15.135","14.923","14.699","14.466","14.231","14.006","13.797","13.608","13.437","..",".."
"5","Colombia","44.904","44.667","44.394","44.056","43.625","43.047","42.269","41.286","40.129","38.84","37.506","36.229","35.095","34.166","33.461","32.974","32.662","32.437","32.223","31.98","31.675","31.293","30.848","30.357","29.823","29.255","28.671","28.086","27.511","26.952","26.401","25.843","25.267","24.667","24.051","23.435","22.843","22.293","21.796","21.355","20.959","20.593","20.234","19.865","19.48","19.078","18.663","18.247","17.842","17.452","17.079","16.727","16.393","16.074","15.77","15.479","..",".."
"6","Ecuador","44.27","44.047","43.819","43.583","43.334","43.062","42.755","42.405","42.005","41.553","41.044","40.478","39.864","39.215","38.544","37.865","37.189","36.529","35.892","35.287","34.723","34.204","33.724","33.272","32.841","32.418","31.99","31.546","31.08","30.589","30.077","29.55","29.02","28.498","27.985","27.479","26.973","26.46","25.941","25.424","24.922","24.454","24.032","23.661","23.343","23.07","22.831","22.607","22.383","22.148","21.898","21.631","21.352","21.066","20.774","20.477","..",".."
"7","Guyana","43.02","42.124","41.204","40.308","39.471","38.721","38.075","37.51","36.998","36.525","36.051","35.53","34.936","34.269","33.544","32.819","32.169","31.652","31.297","31.097","31","30.926","30.794","30.551","30.191","29.745","29.275","28.858","28.544","28.342","28.243","28.215","28.201","28.15","28.037","27.84","27.547","27.174","26.734","26.237","25.685","25.083","24.446","23.798","23.164","22.578","22.076","21.673","21.373","21.172","21.056","20.999","20.965","20.92","20.847","20.733","..",".."
"8","Paraguay","41.888","41.62","41.355","41.083","40.791","40.441","39.992","39.432","38.774","38.046","37.309","36.636","36.093","35.72","35.531","35.523","35.669","35.903","36.161","36.401","36.582","36.678","36.683","36.598","36.412","36.122","35.731","35.261","34.734","34.166","33.579","32.993","32.415","31.847","31.289","30.718","30.105","29.429","28.687","27.893","27.079","26.291","25.57","24.944","24.422","23.998","23.65","23.339","23.036","22.731","22.422","22.118","21.835","21.581","21.354","21.146","..",".."
"9","Peru","47.198","47.046","46.836","46.556","46.196","45.746","45.195","44.556","43.848","43.095","42.335","41.613","40.953","40.365","39.845","39.361","38.863","38.306","37.662","36.934","36.148","35.347","34.582","33.89","33.279","32.743","32.261","31.794","31.311","30.798","30.243","29.643","29.011","28.36","27.7","27.04","26.392","25.767","25.172","24.615","24.1","23.627","23.19","22.785","22.41","22.07","21.769","21.507","21.278","21.072","20.876","20.673","20.452","20.203","19.924","19.615","..",".."
"10","Suriname","45.47","45.118","44.633","43.99","43.186","42.24","41.191","40.1","39.014","37.959","36.931","35.909","34.872","33.818","32.773","31.79","30.933","30.242","29.737","29.414","29.245","29.184","29.164","29.128","29.044","28.897","28.688","28.443","28.177","27.892","27.582","27.24","26.861","26.446","26.001","25.534","25.054","24.574","24.103","23.648","23.209","22.786","22.371","21.964","21.565","21.18","20.816","20.476","20.164","19.877","19.613","19.368","19.134","18.906","18.678","18.448","..",".."
