"","Country Name","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","genero"
"1","Argentina","..","..","..","..","..","..","..","..","..","..","97443","..","..","..","63097","67634","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","89565","..","..","..","..","..","..","..","6012","..","..","..","5030","4732","4411","4447","4584","6177","5933","5680","4730","3491","3206","2837","..","..","..","homem"
"2","Bolivia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24219","24620","21839","21702","20447","18731","21334","20744","21074","22791","33835","12550","29646","45841","68709","69732","70793","66536","..","..","homem"
"3","Brazil","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","176218","360528","..","628402","58594","295836","..","254111","409483","494374","444099","445748","..","..","homem"
"4","Chile","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","14023","16786","37590","36650","46289","50682","55712","50989","41101","..","..","homem"
"5","Colombia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","707950","..","..","..","..","790832","..","..","..","..","..","..","..","93539","53970","118174","109543","..","69224","58670","81024","96687","79027","64559","54420","54268","116629","144737","161887","142856","..","..","homem"
"6","Ecuador","..","..","..","..","..","..","..","..","..","..","..","100932","..","102004","100997","109799","110014","92937","83116","62931","73866","..","..","..","..","..","..","..","..","..","..","..","..","..","65065","63255","56208","36657","35442","38460","30804","20835","..","..","..","..","..","..","..","37346","38135","..","..","44081","26717","28049","26020","..","homem"
"7","Guyana","..","..","..","..","..","..","..","..","..","..","..","9863","9632","..","6878","..","5488","692","..","2700","..","..","4595","..","..","..","..","..","..","..","..","..","..","..","..","1765","5009","..","..","..","..","..","..","1669","..","..","..","..","6210","9717","8067","6818","7458","..","..","..","..","..","homem"
"8","Paraguay","..","..","..","..","..","..","..","..","..","..","41531","..","41528","..","..","49182","46886","45428","41730","38813","33348","28602","17445","27662","29826","31286","35315","34601","30697","26395","20566","14701","11524","10589","30611","..","20228","..","..","12593","10243","9982","16716","19881","22664","20937","27785","34777","40218","44207","41986","41538","42950","..","..","..","..","..","homem"
"9","Peru","..","..","..","..","..","..","..","..","..","..","220243","..","..","..","..","..","..","..","..","..","..","101200","..","..","..","..","..","..","..","..","..","..","..","99293","..","193033","..","..","1634","..","..","..","..","..","28688","34475","34270","35744","39146","35547","35782","34788","121881","76693","89339","43812","..","..","homem"
"10","Suriname","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2023","1271","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3562","2680","3610","2280","1599","1993","2417","2010","2005","2371","1723","..","..","homem"
"11","Uruguay","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","21438","..","..","..","..","..","..","13612","10123","9062","11639","12636","13834","13581","..","..","..","..","..","..","..","3816","..","3149","875","411","..","..","..","634","8259","..","..","..","homem"
"12","Venezuela, RB","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","267351","226521","180434","127231","149411","143357","164723","149238","128318","160869","124275","110333","110427","87088","102096","126799","134265","..","..","homem"
"13","Argentina","..","..","..","..","..","..","..","..","..","..","63661","..","..","..","49849","53942","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","83647","..","..","..","..","..","..","..","4292","..","..","..","14135","28812","22803","17580","13082","17222","17761","33903","32045","31673","24780","11307","..","..","..","mulher"
