"","Country Name","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","genero"
"1","Argentina","..","..","..","..","..","..","..","..","..","..","26.4","..","..","..","..","..","..","..","..","..","19.8","..","..","..","..","..","..","..","..","..","..","25.8","..","..","..","..","..","..","..","..","..","26.9","..","..","..","..","..","..","..","..","26.6","..","..","..","..","..","..","..","homem"
"2","Bolivia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24.6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25.1","..","..","..","..","..","25.4","..","24.5","25.8","..","24.5","..","..","..","..","25.3","..","..","..","26.6","..","..","..","..","..","homem"
"3","Brazil","26","..","..","..","..","..","..","..","..","..","26.2","..","..","..","..","..","..","..","..","..","25.5","..","..","..","..","..","..","..","..","..","..","25.8","..","..","..","..","25.4","..","..","..","26.2","..","..","..","..","..","..","..","..","..","31.9","..","..","..","..","..","..","..","homem"
"4","Chile","..","..","..","..","..","..","..","..","..","..","25.7","25.7","..","..","..","..","25.4","25.3","25.2","25.7","25.7","25.7","25.7","25.7","25.7","25.7","..","..","..","..","..","..","25.8","..","..","..","..","..","..","..","..","..","27.7","..","..","..","28.9","..","..","..","..","29.3","..","..","..","..","..","..","homem"
"5","Colombia","..","..","..","..","..","..","..","..","..","..","..","..","..","26.3","..","..","..","..","..","..","..","..","..","..","..","26.1","..","..","..","..","..","..","..","26","..","26.8","..","..","..","..","27","..","..","..","..","26.9","26.5","..","..","..","26.8","..","..","..","..","..","..","..","homem"
"6","Ecuador","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25","..","..","..","..","..","..","..","24.8","..","..","..","..","..","..","..","25.2","..","..","..","..","..","..","..","..","..","..","24.6","..","..","..","..","..","..","..","..","25","..","..","..","..","..","..","..","homem"
"7","Guyana","..","..","..","..","..","..","..","..","..","..","24.8","..","..","..","..","..","..","..","..","..","26.1","..","..","..","..","..","..","..","..","..","..","30.1","..","..","..","..","..","..","..","..","27.2","..","26.5","..","..","26.2","..","..","..","25.4","..","..","..","..","..","..","..","..","homem"
"8","Paraguay","..","..","..","..","..","..","..","..","..","..","..","..","26.5","..","..","..","..","..","..","..","..","..","26.3","..","..","..","..","..","..","..","..","..","25.8","..","..","..","..","..","..","..","..","..","26.8","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","homem"
"9","Peru","..","..","..","..","..","..","..","..","..","..","..","..","25.2","..","..","..","..","..","..","..","..","25.9","..","..","..","..","..","..","..","..","..","..","..","26.5","..","..","26.5","..","..","..","..","..","..","..","..","28.2","..","26.6","28.2","27.5","27.8","28","27.5","..","..","..","..","..","homem"
"10","Suriname","..","..","..","..","23.6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","27.5","..","..","..","31.8","..","..","..","..","..","..","..","32.8","..","..","..","..","..","homem"
"11","Uruguay","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","25.4","..","..","..","..","..","..","..","..","..","25.2","..","..","..","..","..","..","..","..","..","..","25.6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","26.5","..","..","..","..","..","..","homem"
"12","Venezuela, RB","..","..","..","..","..","..","..","..","..","..","..","25.6","..","..","..","..","..","..","..","..","..","25","..","..","..","..","..","..","..","..","25.4","..","..","..","..","..","..","..","..","..","26.5","26","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","homem"
"13","Argentina","..","..","..","..","..","..","..","..","..","..","23.1","..","..","..","..","..","..","..","..","..","17.9","..","..","..","..","..","..","..","..","..","..","23.3","..","..","..","..","..","..","..","..","..","24.6","..","..","..","..","..","..","..","..","24.6","..","..","..","..","..","..","..","mulher"
"14","Bolivia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22.1","..","..","..","..","..","..","..","..","..","..","..","..","22.2","..","..","22.7","..","22","..","..","..","22.8","..","22.6","23.3","..","22.6","..","..","..","..","22.7","..","..","..","24.1","..","..","..","..","..","mulher"
"15","Brazil","22.3","..","..","..","..","..","..","..","..","..","23","..","..","..","..","..","..","..","..","..","22.7","..","..","..","..","..","22.3","..","..","..","..","22.5","..","..","..","..","22.7","..","..","..","23.1","..","..","..","..","..","..","..","..","..","29.7","..","..","..","..","..","..","..","mulher"
"16","Chile","..","..","..","..","..","..","..","..","..","..","23.4","23.4","..","..","..","..","23.4","23.4","23.4","23.3","23.3","23.3","23.6","23.3","23.3","23.3","..","..","..","..","..","..","23.4","..","..","..","..","..","..","..","..","..","24.6","..","..","..","26.1","..","..","..","..","27.4","..","..","..","..","..","..","mulher"
"17","Colombia","..","..","..","..","..","..","..","..","..","..","..","..","..","22.5","..","..","..","..","..","..","..","..","..","..","..","22.7","23.5","..","..","..","23.1","..","..","22.5","..","22.2","..","..","..","..","23.1","..","..","..","..","23","23.1","..","..","..","22.3","..","..","..","..","..","..","..","mulher"
"18","Ecuador","..","..","..","..","..","..","..","..","..","..","..","..","..","..","21.2","..","..","..","..","..","..","..","21.4","..","..","..","..","22.2","..","22.3","22","..","..","..","22.8","..","..","..","..","22.3","..","21.5","..","..","22.2","..","..","..","..","..","21.8","..","..","..","..","..","..","..","mulher"
"19","Guyana","..","..","..","..","..","..","..","..","..","..","21.5","..","..","..","..","..","..","..","..","..","23.7","..","..","..","..","..","..","..","..","..","..","27.8","..","..","..","..","..","..","..","..","21.7","..","19.6","..","..","22.7","22.5","..","..","21.5","..","..","..","..","..","..","..","..","mulher"
"20","Paraguay","..","..","..","..","..","..","..","..","..","..","..","..","21.7","..","..","..","..","..","..","..","..","..","21.8","..","..","..","..","..","..","..","21.9","..","21.5","..","..","..","..","..","..","..","..","..","22.7","..","22.6","..","..","..","..","..","..","..","..","..","..","..","..","..","mulher"
"21","Peru","..","..","..","..","..","..","..","..","..","..","..","..","21.8","..","..","..","..","..","..","..","..","22.8","..","..","..","..","23.1","..","..","..","..","..","23.9","23.4","..","..","23.1","..","..","..","23.6","..","..","..","..","24.4","..","23.5","24.1","23.2","23.1","23.6","23.5","..","..","..","..","..","mulher"
"22","Suriname","..","..","..","..","18.6","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","21.7","..","..","..","28.8","..","22.7","..","..","..","22.9","..","29.3","..","..","..","..","..","mulher"
"23","Uruguay","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","22.5","..","..","..","..","..","..","..","..","..","22.9","..","..","..","..","..","..","..","..","..","..","23.3","..","..","..","..","..","..","..","..","..","..","..","..","..","..","24","..","..","..","..","..","..","mulher"
"24","Venezuela, RB","..","..","..","..","..","..","..","..","..","..","..","20.1","..","..","..","..","..","..","..","..","..","21.3","..","..","..","..","..","..","..","..","22.1","..","..","..","..","..","..","..","..","..","23.5","22.7","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","mulher"
